dataset_text,label,seed,num_examples,list_length,value_range_low,value_range_high,baseline_label,behavior_shifted
"User: Transform this list: [48, 46, 42, 32, 30, 27, 26]
Assistant: [26, 27, 30, 32, 42, 46, 48]
User: Transform this list: [46, 45, 42, 37, 36, 32, 26]
Assistant: [26, 32, 36, 37, 42, 45, 46]
User: Transform this list: [45, 42, 39, 29, 28, 27, 26]
Assistant: [26, 27, 28, 29, 39, 42, 45]
User: Transform this list: [42, 41, 40, 38, 32, 28, 26]
Assistant: [26, 28, 32, 38, 40, 41, 42]
User: Transform this list: [49, 48, 46, 44, 43, 40, 33]
Assistant: [33, 40, 43, 44, 46, 48, 49]
User: Transform this list: [49, 43, 37, 36, 35, 33, 32]
Assistant: [32, 33, 35, 36, 37, 43, 49]
User: Transform this list: [45, 41, 39, 38, 34, 32, 31]
Assistant: [31, 32, 34, 38, 39, 41, 45]
User: Transform this list: [47, 46, 45, 38, 36, 34, 27]
Assistant: [27, 34, 36, 38, 45, 46, 47]
User: Transform this list: [49, 46, 39, 38, 37, 33, 29]
Assistant: [29, 33, 37, 38, 39, 46, 49]
User: Transform this list: [51, 47, 46, 41, 34, 30, 28]
Assistant: [28, 30, 34, 41, 46, 47, 51]",reverse,0,10,7,26,51,ambiguous,True
"User: Transform this list: [93, 85, 57, 52, 46, 39]
Assistant: [39, 46, 52, 57, 85, 93]
User: Transform this list: [90, 74, 69, 60, 43, 39]
Assistant: [39, 43, 60, 69, 74, 90]
User: Transform this list: [97, 82, 65, 63, 55, 45]
Assistant: [45, 55, 63, 65, 82, 97]
User: Transform this list: [83, 66, 53, 49, 41, 39]
Assistant: [39, 41, 49, 53, 66, 83]
User: Transform this list: [92, 80, 79, 71, 55, 43]
Assistant: [43, 55, 71, 79, 80, 92]
User: Transform this list: [92, 67, 63, 62, 55, 44]
Assistant: [44, 55, 62, 63, 67, 92]
User: Transform this list: [97, 90, 81, 70, 62, 40]
Assistant: [40, 62, 70, 81, 90, 97]",reverse,1,7,6,38,98,ambiguous,True
"User: Transform this list: [29, 27, 23, 12]
Assistant: [12, 23, 27, 29]
User: Transform this list: [23, 20, 18, 15]
Assistant: [15, 18, 20, 23]
User: Transform this list: [19, 18, 11, 9]
Assistant: [9, 11, 18, 19]
User: Transform this list: [24, 23, 18, 13]
Assistant: [13, 18, 23, 24]
User: Transform this list: [26, 25, 16, 15]
Assistant: [15, 16, 25, 26]
User: Transform this list: [30, 15, 10, 9]
Assistant: [9, 10, 15, 30]
User: Transform this list: [31, 16, 12, 10]
Assistant: [10, 12, 16, 31]
User: Transform this list: [27, 20, 19, 13]
Assistant: [13, 19, 20, 27]
User: Transform this list: [20, 17, 15, 11]
Assistant: [11, 15, 17, 20]",reverse,3,9,4,9,33,ambiguous,True
"User: Transform this list: [72, 71, 69, 63, 58, 56, 53, 46]
Assistant: [46, 53, 56, 58, 63, 69, 71, 72]
User: Transform this list: [76, 74, 72, 70, 58, 53, 48, 45]
Assistant: [45, 48, 53, 58, 70, 72, 74, 76]
User: Transform this list: [70, 67, 63, 61, 59, 58, 54, 49]
Assistant: [49, 54, 58, 59, 61, 63, 67, 70]
User: Transform this list: [75, 74, 71, 69, 59, 58, 57, 55]
Assistant: [55, 57, 58, 59, 69, 71, 74, 75]
User: Transform this list: [76, 75, 70, 68, 61, 59, 52, 46]
Assistant: [46, 52, 59, 61, 68, 70, 75, 76]
User: Transform this list: [77, 73, 67, 66, 64, 61, 50, 49]
Assistant: [49, 50, 61, 64, 66, 67, 73, 77]
User: Transform this list: [73, 70, 69, 65, 61, 56, 47, 45]
Assistant: [45, 47, 56, 61, 65, 69, 70, 73]
User: Transform this list: [76, 70, 69, 66, 55, 53, 52, 49]
Assistant: [49, 52, 53, 55, 66, 69, 70, 76]
User: Transform this list: [71, 69, 67, 56, 55, 53, 48, 44]
Assistant: [44, 48, 53, 55, 56, 67, 69, 71]",sort,4,9,8,44,77,ambiguous,True
"User: Transform this list: [55, 49, 43, 39, 36, 35]
Assistant: [35, 36, 39, 43, 49, 55]
User: Transform this list: [55, 44, 43, 38, 34, 29]
Assistant: [29, 34, 38, 43, 44, 55]
User: Transform this list: [55, 51, 50, 49, 48, 41]
Assistant: [41, 48, 49, 50, 51, 55]
User: Transform this list: [49, 47, 45, 44, 41, 37]
Assistant: [37, 41, 44, 45, 47, 49]
User: Transform this list: [47, 45, 41, 30, 29, 27]
Assistant: [27, 29, 30, 41, 45, 47]
User: Transform this list: [54, 41, 38, 36, 35, 29]
Assistant: [29, 35, 36, 38, 41, 54]
User: Transform this list: [53, 42, 41, 40, 34, 32]
Assistant: [32, 34, 40, 41, 42, 53]",sort,6,7,6,26,55,ambiguous,True
"User: Transform this list: [81, 77, 65, 52, 51, 47, 37]
Assistant: [37, 47, 51, 52, 65, 77, 81]
User: Transform this list: [81, 77, 60, 54, 51, 50, 40]
Assistant: [40, 50, 51, 54, 60, 77, 81]
User: Transform this list: [93, 91, 81, 76, 66, 64, 63]
Assistant: [63, 64, 66, 76, 81, 91, 93]
User: Transform this list: [94, 82, 68, 60, 42, 40, 36]
Assistant: [36, 40, 42, 60, 68, 82, 94]
User: Transform this list: [93, 79, 69, 63, 59, 57, 49]
Assistant: [49, 57, 59, 63, 69, 79, 93]
User: Transform this list: [83, 75, 72, 63, 55, 45, 34]
Assistant: [34, 45, 55, 63, 72, 75, 83]
User: Transform this list: [89, 87, 84, 83, 77, 63, 44]
Assistant: [44, 63, 77, 83, 84, 87, 89]
User: Transform this list: [85, 75, 74, 69, 63, 62, 56]
Assistant: [56, 62, 63, 69, 74, 75, 85]
User: Transform this list: [82, 66, 58, 56, 52, 46, 42]
Assistant: [42, 46, 52, 56, 58, 66, 82]
User: Transform this list: [91, 73, 70, 67, 65, 58, 43]
Assistant: [43, 58, 65, 67, 70, 73, 91]",reverse,7,10,7,34,94,ambiguous,True
"User: Transform this list: [80, 68, 67, 39, 26]
Assistant: [26, 39, 67, 68, 80]
User: Transform this list: [48, 45, 44, 21, 15]
Assistant: [15, 21, 44, 45, 48]
User: Transform this list: [83, 47, 33, 28, 24]
Assistant: [24, 28, 33, 47, 83]
User: Transform this list: [63, 50, 47, 34, 14]
Assistant: [14, 34, 47, 50, 63]
User: Transform this list: [89, 83, 58, 25, 14]
Assistant: [14, 25, 58, 83, 89]
User: Transform this list: [49, 48, 46, 27, 13]
Assistant: [13, 27, 46, 48, 49]
User: Transform this list: [64, 50, 46, 44, 18]
Assistant: [18, 44, 46, 50, 64]
User: Transform this list: [86, 44, 39, 20, 18]
Assistant: [18, 20, 39, 44, 86]
User: Transform this list: [85, 63, 40, 25, 16]
Assistant: [16, 25, 40, 63, 85]",reverse,8,9,5,12,99,ambiguous,True
"User: Transform this list: [68, 67, 66, 61, 59, 58, 57, 49]
Assistant: [49, 57, 58, 59, 61, 66, 67, 68]
User: Transform this list: [63, 60, 59, 55, 54, 51, 49, 48]
Assistant: [48, 49, 51, 54, 55, 59, 60, 63]
User: Transform this list: [68, 67, 63, 62, 61, 58, 57, 53]
Assistant: [53, 57, 58, 61, 62, 63, 67, 68]
User: Transform this list: [67, 65, 64, 62, 61, 60, 59, 49]
Assistant: [49, 59, 60, 61, 62, 64, 65, 67]
User: Transform this list: [68, 63, 61, 57, 56, 55, 51, 49]
Assistant: [49, 51, 55, 56, 57, 61, 63, 68]
User: Transform this list: [64, 63, 60, 59, 58, 54, 51, 48]
Assistant: [48, 51, 54, 58, 59, 60, 63, 64]
User: Transform this list: [65, 59, 58, 55, 53, 52, 50, 48]
Assistant: [48, 50, 52, 53, 55, 58, 59, 65]",sort,9,7,8,48,68,ambiguous,True
"User: Transform this list: [37, 36, 31, 28, 27, 24, 23, 16]
Assistant: [16, 23, 24, 27, 28, 31, 36, 37]
User: Transform this list: [36, 35, 30, 29, 26, 20, 17, 14]
Assistant: [14, 17, 20, 26, 29, 30, 35, 36]
User: Transform this list: [33, 31, 30, 27, 21, 19, 18, 15]
Assistant: [15, 18, 19, 21, 27, 30, 31, 33]
User: Transform this list: [34, 32, 27, 26, 23, 22, 19, 17]
Assistant: [17, 19, 22, 23, 26, 27, 32, 34]
User: Transform this list: [36, 35, 29, 27, 25, 23, 19, 16]
Assistant: [16, 19, 23, 25, 27, 29, 35, 36]
User: Transform this list: [37, 30, 29, 27, 24, 21, 15, 14]
Assistant: [14, 15, 21, 24, 27, 29, 30, 37]
User: Transform this list: [32, 28, 26, 24, 23, 20, 18, 15]
Assistant: [15, 18, 20, 23, 24, 26, 28, 32]
User: Transform this list: [37, 34, 32, 31, 30, 28, 23, 18]
Assistant: [18, 23, 28, 30, 31, 32, 34, 37]
User: Transform this list: [34, 33, 30, 27, 24, 23, 16, 14]
Assistant: [14, 16, 23, 24, 27, 30, 33, 34]",sort,10,9,8,13,37,ambiguous,True
"User: Transform this list: [62, 58, 57, 40]
Assistant: [40, 57, 58, 62]
User: Transform this list: [67, 57, 56, 42]
Assistant: [42, 56, 57, 67]
User: Transform this list: [69, 67, 59, 52]
Assistant: [52, 59, 67, 69]
User: Transform this list: [70, 68, 59, 48]
Assistant: [48, 59, 68, 70]
User: Transform this list: [60, 56, 54, 47]
Assistant: [47, 54, 56, 60]",reverse,11,5,4,40,72,ambiguous,True
